galaxy,selection_role,n_points,radius_kpc,v_obs_kms,e_vobs_kms,v_baryon_kms,v_c4_4_kms,v_mond_kms,v_nfw_kms,v_iso_kms,v_burkert_kms
NGC5371,bulge_tension,19,1.45,216.0,10.0,112.45956021691545,118.63988229072221,150.47685186699485,145.4745091617395,131.29108740251482,183.74556060364785
NGC5371,bulge_tension,19,2.8800000000000003,215.0,7.0,155.6738316997206,166.16593622439328,209.45324262284674,177.7306231486489,172.21016003277614,202.7142269508405
NGC5371,bulge_tension,19,4.33,215.0,5.0,187.3117314955619,201.74227741964762,253.50349027254833,203.5205622174206,202.0391995483589,221.2342567086498
NGC5371,bulge_tension,19,5.78,214.0,4.0,210.74794458289705,229.47754672264708,287.6103905054114,223.5757086854538,224.2992083054518,237.14902971757812
NGC5371,bulge_tension,19,7.22,215.0,4.0,227.11476260372504,251.08606813376852,313.5739566345291,237.84880227631442,239.9467440667249,248.89775916590827
NGC5371,bulge_tension,19,8.66,221.0,3.0,239.149160917678,269.3335031294892,334.4371732469611,248.44483301600567,251.49898380384212,257.7939863162117
NGC5371,bulge_tension,19,11.55,233.0,3.0,254.73240684597195,298.94835312783914,365.9893402031214,262.18156226844945,266.5179102756791,269.40402845462694
NGC5371,bulge_tension,19,14.48,237.0,3.0,261.8409584689742,321.73508308619444,387.50695975392324,268.181874176088,273.4138839232549,274.15884363870447
NGC5371,bulge_tension,19,17.28,242.0,3.0,262.64341139120285,338.7207320484304,400.7424050212719,268.30963506517236,274.2425157421497,273.5368798643237
NGC5371,bulge_tension,19,20.2,241.0,3.0,256.75873493733076,351.01010096673485,406.6171783532394,262.00244484629064,268.65806534685976,266.749352886182
NGC5371,bulge_tension,19,23.12,240.0,3.0,250.14903277032585,361.0128206643885,410.523226013825,255.07407179413252,262.383630120061,259.463013888071
NGC5371,bulge_tension,19,26.039999999999996,234.0,3.0,238.86971720457254,365.4286457206537,408.56231780260777,243.63025282185745,251.68188677593972,247.8136437757758
NGC5371,bulge_tension,19,28.840000000000003,226.0,3.0,229.30367809915893,367.68191450815783,406.9422465091654,233.9282751391763,242.64437922920987,237.94542409634008
NGC5371,bulge_tension,19,31.76,213.0,3.0,217.0255403044683,365.29115801747633,401.8158592563971,221.5945896772761,231.096724730989,225.51952559242696
NGC5371,bulge_tension,19,34.68,207.0,3.0,205.3530882881551,360.7779617247719,396.33569399993877,209.89153609718608,220.1894758531492,213.75118825436212
NGC5371,bulge_tension,19,37.48,208.0,4.0,194.3424927254486,354.76525342877676,390.39573724266086,198.87958057111084,209.97368125364864,202.7038518999296
NGC5371,bulge_tension,19,40.4,209.0,4.0,182.32109168857326,346.4094776004566,382.6677552766127,186.90189455597857,198.91375434590884,190.728825818443
NGC5371,bulge_tension,19,43.32000000000001,207.0,4.0,172.24584720269917,339.139595508659,376.3707198693912,176.8542504166032,189.73486507831873,180.6733279055831
NGC5371,bulge_tension,19,46.24,213.0,6.0,160.85945904830712,329.43464230913156,367.62521041831207,165.56134847550578,179.4737072051763,169.42612824289083
