galaxy,selection_role,n_points,radius_kpc,v_obs_kms,e_vobs_kms,v_baryon_kms,v_c4_4_kms,v_mond_kms,v_nfw_kms,v_iso_kms,v_burkert_kms
UGC00128,dwarf_success,22,1.2499999999999998,34.1,18.8,20.454523668285812,38.055190487581896,52.521134814827015,43.76997028462548,40.58445951678076,27.15687526577325
UGC00128,dwarf_success,22,3.75,78.4,6.54,34.05537595069017,69.69228189988078,89.04754751294732,69.73332661946084,83.58803352886667,58.78415069770766
UGC00128,dwarf_success,22,6.25,96.9,2.44,41.702701616273615,90.5910912396543,111.73559531440713,83.31424760626246,102.92111183932107,81.87097098057411
UGC00128,dwarf_success,22,8.76,108.0,1.26,45.625071166458305,104.86520329766361,126.8041386244253,91.28401885743168,112.89997557830499,97.90855915174564
UGC00128,dwarf_success,22,11.250000000000002,113.0,1.0,47.53547808779492,114.86975472390085,137.4012459312555,96.16992345036073,118.6660531904502,108.76614144112784
UGC00128,dwarf_success,22,13.74,114.0,0.86,49.046151046560034,122.91585983355174,146.41147240118718,99.61648479023626,122.59208876851308,116.42033759327583
UGC00128,dwarf_success,22,16.22,121.0,0.68,49.35378244179964,128.48111628181306,152.75504682857485,101.64812696126694,125.0700522785269,121.40008244878999
UGC00128,dwarf_success,22,18.71,126.0,0.55,49.70346082402316,133.44336455907307,158.5948617361608,103.14444486370529,126.97752920072092,124.90220828970125
UGC00128,dwarf_success,22,21.3,128.0,0.63,49.10328071414562,136.6517987573958,162.51617033923333,103.81265261757244,128.16826269817832,127.0264047323736
UGC00128,dwarf_success,22,23.79,129.0,0.61,48.99913302439722,140.05681343877836,166.67091185073343,104.3814621256638,129.21762807430946,128.4732591880515
UGC00128,dwarf_success,22,26.28,129.0,0.65,48.26547330589068,142.15119373916204,169.3462856292346,104.43745392901786,129.8333057900395,129.12873322265477
UGC00128,dwarf_success,22,28.77,131.0,0.73,47.88538341543739,144.5471522251561,172.3500724558835,104.49229324690938,130.4358767558904,129.51287382286267
UGC00128,dwarf_success,22,31.25,131.0,0.83,47.20549971671129,146.20540911042448,174.50664742542375,104.28232102025234,130.81503243267065,129.48630943040712
UGC00128,dwarf_success,22,33.74,131.0,0.75,46.69650243964003,147.96351785437605,176.76077575609824,104.05178843122665,131.17237413027735,129.30013378988826
UGC00128,dwarf_success,22,36.23,127.0,1.24,46.08215340502577,149.36437495223456,178.5938994067884,103.69653151208585,131.4233842447385,128.9079470781121
UGC00128,dwarf_success,22,38.82,126.0,1.4,45.49226440130374,150.73746168993773,180.39295943363572,103.2846473170195,131.6432792860532,128.38397575530195
UGC00128,dwarf_success,22,41.31000000000001,130.0,1.62,44.907243981080455,151.88226335063882,181.90797316503122,102.83219143673965,131.8026586274676,127.77733479452083
UGC00128,dwarf_success,22,43.79999999999999,132.0,2.01,44.30268560476302,152.86138485060465,183.2218323735209,102.33391724059055,131.91860084172322,127.09301120076225
UGC00128,dwarf_success,22,46.28,134.0,2.1,43.73286535235422,153.7793359866925,184.4533428823359,101.82244645466149,132.01445844613926,126.37002276516341
UGC00128,dwarf_success,22,48.77000000000001,129.0,2.66,43.086183212820764,154.44888042472297,185.3909594645709,101.25411596904694,132.06055356393244,125.57929994563176
UGC00128,dwarf_success,22,51.25999999999999,132.0,4.67,42.50746038169409,155.14657906189265,186.35086085313003,100.69705894874285,132.1073589457872,124.78352958644656
UGC00128,dwarf_success,22,53.75,125.0,5.95,41.82047228391251,155.53455978470458,186.94582487028612,100.0810069020541,132.10135087087443,123.93102380956736
