selection_role,galaxy,subset,morph_slice,n_points,rmse_c4_4_kms,rmse_nfw_kms,source_table
bulge_success,UGC02487,external_151,bulge_rich_hsb,17,105.02467948708605,192.22514849369375,embedded_in_this_table
bulge_tension,NGC5371,external_151,bulge_rich_hsb,19,107.40348700458196,28.111186350890215,embedded_in_this_table
ordinary_success,UGC02885,external_151,ordinary_disk,19,66.37645713671198,119.97105369765552,embedded_in_this_table
ordinary_tension,UGC06930,external_151,ordinary_disk,10,19.909329785521773,2.949881788383762,embedded_in_this_table
dwarf_success,UGC00128,external_151,low_mass_dwarf,22,16.43324938487304,23.393867704130585,embedded_in_this_table
dwarf_tension,UGC07125,external_151,low_mass_dwarf,13,37.735604480119484,3.4626350898277867,embedded_in_this_table
gas_rich_dwarf,NGC3741,calibration_24,low_mass_dwarf,21,1.8068478298322237,1.4543696927769092,embedded_in_this_table
diffuse_dwarf,UGC05918,external_151,low_mass_dwarf,8,4.373869424613552,1.4762987377622288,embedded_in_this_table
overall_best_c4,UGC07323,external_151,low_mass_dwarf,10,1.8022521222399202,7.576999927673896,embedded_in_this_table
overall_worst_c4,UGC11914,external_151,bulge_rich_hsb,65,137.06795056659786,119.80032000202421,embedded_in_this_table
