series,x_log10_gbar,y_log10_gobs,n_points,residual_vs_official
official_all,-11.23,-10.68,,
official_all,-11.13,-10.59,,
official_all,-11.19,-10.58,,
official_all,-11.29,-10.59,,
official_all,-11.43,-10.65,,
official_all,-11.6,-10.7,,
official_all,-11.76,-10.79,,
official_all,-11.13,-10.4,,
official_all,-11.16,-10.38,,
official_all,-11.21,-10.39,,
official_all,-11.24,-10.44,,
official_all,-11.31,-10.48,,
official_all,-11.33,-10.51,,
official_all,-11.34,-10.55,,
official_all,-11.41,-10.58,,
official_all,-11.41,-10.62,,
official_all,-11.43,-10.65,,
official_all,-11.45,-10.67,,
official_all,-11.43,-10.69,,
official_all,-11.39,-10.7,,
official_all,-11.37,-10.7,,
official_all,-11.35,-10.69,,
official_all,-11.35,-10.69,,
official_all,-11.29,-10.52,,
official_all,-11.28,-10.47,,
official_all,-11.33,-10.52,,
official_all,-11.38,-10.54,,
official_all,-11.39,-10.58,,
official_all,-11.41,-10.61,,
official_all,-11.38,-10.64,,
official_all,-11.37,-10.66,,
official_all,-11.34,-10.69,,
official_all,-11.34,-10.71,,
official_all,-11.37,-10.73,,
official_all,-11.37,-10.76,,
official_all,-11.39,-10.79,,
official_all,-10.27,-9.53,,
official_all,-10.3,-9.65,,
official_all,-10.34,-9.71,,
official_all,-10.34,-9.75,,
official_all,-10.36,-9.79,,
official_all,-10.39,-9.82,,
official_all,-10.42,-9.88,,
official_all,-10.45,-9.92,,
official_all,-10.47,-9.95,,
official_all,-10.51,-9.97,,
official_all,-10.55,-10.01,,
official_all,-10.6,-10.04,,
official_all,-10.65,-10.05,,
official_all,-10.7,-10.12,,
official_all,-10.74,-10.15,,
official_all,-10.77,-10.15,,
official_all,-10.79,-10.17,,
official_all,-10.82,-10.2,,
official_all,-10.87,-10.24,,
official_all,-10.91,-10.28,,
official_all,-10.94,-10.3,,
official_all,-10.98,-10.34,,
official_all,-11.01,-10.39,,
official_all,-11.03,-10.39,,
official_all,-11.04,-10.41,,
official_all,-11.06,-10.44,,
official_all,-11.06,-10.47,,
official_all,-11.05,-10.48,,
official_all,-8.68,-8.57,,
official_all,-8.72,-8.59,,
official_all,-8.75,-8.61,,
official_all,-8.77,-8.62,,
official_all,-8.79,-8.64,,
official_all,-8.81,-8.66,,
official_all,-8.84,-8.68,,
official_all,-8.86,-8.7,,
official_all,-8.89,-8.72,,
official_all,-8.91,-8.74,,
official_all,-8.93,-8.77,,
official_all,-8.95,-8.79,,
official_all,-8.98,-8.81,,
official_all,-9.0,-8.83,,
official_all,-9.02,-8.85,,
official_all,-9.04,-8.87,,
official_all,-9.06,-8.9,,
official_all,-9.07,-8.92,,
official_all,-9.09,-8.93,,
official_all,-9.11,-8.95,,
official_all,-9.11,-8.96,,
official_all,-9.12,-8.97,,
official_all,-9.14,-8.98,,
official_all,-9.15,-9.0,,
official_all,-9.16,-9.01,,
official_all,-9.19,-9.04,,
official_all,-9.23,-9.08,,
official_all,-9.3,-9.13,,
official_all,-9.31,-9.14,,
official_all,-9.33,-9.16,,
official_all,-9.34,-9.17,,
official_all,-9.35,-9.17,,
official_all,-9.37,-9.2,,
official_all,-9.38,-9.2,,
official_all,-9.39,-9.21,,
official_all,-9.41,-9.23,,
official_all,-9.44,-9.26,,
official_all,-9.45,-9.26,,
official_all,-9.45,-9.27,,
official_all,-9.46,-9.28,,
official_all,-9.47,-9.28,,
official_all,-9.49,-9.3,,
official_all,-9.5,-9.3,,
official_all,-9.51,-9.31,,
official_all,-9.52,-9.32,,
official_all,-9.53,-9.33,,
official_all,-9.54,-9.34,,
official_all,-9.55,-9.35,,
official_all,-9.56,-9.36,,
official_all,-9.56,-9.36,,
official_all,-9.57,-9.37,,
official_all,-9.58,-9.37,,
