galaxy,log_mb,vf_kms,c4_vf_proxy_kms
D631-7,8.68,57.7,48.28277432231025
DDO064,8.56,46.1,40.264572603534965
DDO154,8.59,47.0,56.54724729470425
DDO161,9.32,66.3,100.70350958677341
DDO168,8.81,53.7,56.34652145446237
DDO170,9.1,60.0,85.63221523726506
ESO079-G014,10.48,175.0,169.78527223603268
ESO116-G012,9.55,109.1,97.4279874301597
ESO563-G021,11.27,314.6,242.37444721256665
F568-V1,9.72,112.3,95.6749082825967
F571-8,9.87,139.7,143.19114908574088
F571-V1,9.41,83.6,95.37798107529632
F574-1,9.9,97.8,108.74918550261066
F583-1,9.52,85.8,80.37437097992634
IC2574,9.28,66.4,73.84565807437919
IC4202,11.03,242.6,194.78080782882532
KK98-251,8.29,33.7,42.92160308219959
NGC0024,9.45,106.3,92.34237339105165
NGC0055,9.64,85.6,130.4708906044882
NGC0100,9.63,88.1,83.24067295320408
NGC0247,9.78,104.9,118.21634131700205
NGC0289,10.86,163.0,178.45473543603492
NGC0300,9.43,93.3,84.16672534865513
NGC0801,11.27,220.1,346.296590720405
NGC0891,10.88,216.1,224.03905500326786
NGC1003,10.05,109.8,126.2980194567794
NGC1090,10.68,164.4,182.8807354340077
NGC2403,9.97,131.2,115.02196618745465
NGC2683,10.62,154.0,124.13649759671647
NGC2841,11.03,284.8,198.3948151353766
NGC2903,10.65,184.6,216.15291663619757
NGC2915,9.0,83.5,74.72725683178099
NGC2976,9.28,85.4,56.750009709269484
NGC2998,11.03,209.9,241.27623837716473
NGC3109,8.86,66.2,60.749769320538185
NGC3198,10.53,150.1,148.72383467112155
NGC3521,10.68,213.7,211.64929464922974
NGC3726,10.64,168.0,186.79625146984188
NGC3741,8.41,50.1,53.21821139290507
NGC3769,10.22,118.6,144.51933104792195
NGC3877,10.58,168.4,174.8531289638081
NGC3893,10.57,174.0,170.56406079155082
NGC3917,10.13,135.9,126.62831237099434
NGC3949,10.37,163.0,166.4830261111812
NGC3953,10.87,220.8,244.50898430041775
NGC3972,9.94,132.7,118.02697482609365
NGC3992,11.13,241.0,232.8771729704232
NGC4010,10.09,125.8,134.18677068146977
NGC4013,10.64,172.9,165.7308682714561
NGC4051,10.71,157.0,207.91717491002234
NGC4085,10.1,131.5,120.74158531249857
NGC4088,10.81,171.7,201.87773573390987
NGC4100,10.53,158.2,153.7840944887075
NGC4138,10.38,147.3,118.3513525720028
NGC4157,10.8,184.7,177.00768822042613
NGC4183,10.0,110.6,134.97165874676534
NGC4217,10.66,181.3,131.15510759678585
NGC4559,10.24,121.2,142.17744273802117
NGC5005,10.96,262.2,330.99179000334703
NGC5033,10.85,194.2,169.2884310383946
NGC5055,10.96,179.0,163.247106326718
NGC5371,11.27,209.5,339.139595508659
NGC5585,9.57,90.3,94.1421827370141
NGC5907,11.06,215.0,192.81439645487836
NGC5985,11.08,293.6,247.9305893368159
NGC6015,10.38,154.1,143.65123216444115
NGC6195,11.35,251.7,320.91852718206303
NGC6503,9.94,116.3,104.25840390421325
NGC6674,11.18,241.3,186.82314689875946
NGC6946,10.61,158.9,167.5454065747603
NGC7331,11.15,239.0,250.74907314498395
NGC7814,10.59,218.9,101.03566538466329
UGC00128,10.2,129.6,155.14657906189265
UGC00731,9.41,73.3,81.20349933936869
UGC01281,8.75,55.2,58.304509830095654
UGC02259,9.18,86.2,80.75370553522897
UGC02487,11.43,332.0,218.82958948088307
UGC02885,11.41,289.5,299.93760271382945
UGC02916,10.97,182.7,153.64666694619993
UGC02953,11.15,264.9,123.73666651106296
UGC03205,10.84,219.6,152.2676442911785
UGC03546,10.73,196.9,165.16795652300914
UGC03580,10.09,126.2,102.92896080912963
UGC04278,9.33,91.4,76.51496297917942
UGC04325,9.28,90.9,77.32326958465306
UGC04499,9.35,72.8,87.49745152585919
UGC05005,9.79,98.9,115.57875168224857
UGC05253,11.03,213.7,174.23612817584038
UGC05716,9.24,73.1,81.7414485439434
UGC05721,9.01,79.7,74.81602586575902
UGC05986,9.77,113.0,99.61894874906386
UGC06399,9.31,85.0,83.17326152224885
UGC06446,9.37,82.2,86.32028154663007
UGC06614,10.96,199.8,134.51137466530935
UGC06667,9.25,83.8,71.32942735228843
UGC06786,10.64,219.4,124.96665465339193
UGC06787,10.75,248.1,132.553600536487
UGC06818,9.35,71.2,72.69477651546744
UGC06917,9.79,108.7,116.05135876319054
UGC06923,9.4,79.6,78.01806339305824
UGC06930,9.94,107.2,137.9618242738869
UGC06983,9.82,109.0,127.71408641330683
UGC07125,9.88,65.2,116.99287796025475
UGC07151,9.29,73.5,77.17313503662484
UGC07261,9.43,74.7,75.58781881243306
UGC07399,9.2,103.0,77.91903160127198
UGC07524,9.55,79.6,96.86436687063785
UGC07603,8.73,61.6,55.093374065825984
UGC07690,8.98,57.4,64.1404026912912
UGC08286,9.17,82.4,74.10681752117245
UGC08490,9.17,78.6,84.94588782237632
UGC08550,8.72,56.9,55.218889647040704
UGC08699,10.48,182.4,122.58868053484031
UGC09037,10.78,152.3,208.30854781510632
UGC09133,11.27,226.8,184.91172238302937
UGC09992,8.77,33.6,50.526424736191416
UGC10310,9.39,71.4,80.30199870348328
UGC11455,11.31,269.4,263.2518024290166
UGC11914,10.88,288.1,186.61112820732117
UGC12506,11.07,234.0,249.40733621189847
UGC12632,9.47,71.7,85.12926801787734
UGCA442,8.62,56.4,64.7788247929842
UGCA444,7.98,37.0,40.51714587125488
