galaxy,subset,class,radial_index,radius_m,radius_kpc,v_obs_kms,g_N,A_B,C_B,nu_B,S_Psi,alpha_B,S_rad,sin_alpha_B_S_rad
CamB,calibration_24,low_mass_dwarf,0,4.937084130386187e+18,0.16,1.99,6.148145659007936e-12,0.3806060721457841,0.28012478584109346,0.3961831726471053,0.029655982188291317,0.41141822051771276,0.4739769442938754,0.18954793316190774
CamB,calibration_24,low_mass_dwarf,1,1.2651278084114604e+19,0.41,4.84,5.70815781802067e-12,0.2619071153401308,0.2942375233484085,0.3571187055459792,0.050469789266831905,0.41143525176392504,0.48762000236900865,0.1950115348972437
CamB,calibration_24,low_mass_dwarf,2,1.758836221450079e+19,0.57,6.79,5.259267259707299e-12,0.24319642366247554,0.24304068907720322,0.3246677250979569,0.06470510153655752,0.4700030401045518,0.5589481608861955,0.2531414713091267
CamB,calibration_24,low_mass_dwarf,3,2.252544634488698e+19,0.73,8.87,4.792390281915354e-12,0.23064145329482216,0.18536857351271396,0.2914158173012732,0.07750656030522943,0.530723927262103,0.6492691350771667,0.3286326488631627
CamB,calibration_24,low_mass_dwarf,4,2.7771098233422303e+19,0.9,10.9,4.33280243325817e-12,0.21516304989336896,0.13473340724553234,0.2586389716608432,0.08857818006968045,0.5819647722721373,0.7415794951740933,0.4076212843947591
CamB,calibration_24,low_mass_dwarf,5,3.2708182363808494e+19,1.06,12.9,3.985163034012146e-12,0.19561530546424705,0.11185422778150515,0.23373526563784153,0.09806432504880813,0.6141603162083216,0.7927430547648806,0.45683601215212677
CamB,calibration_24,low_mass_dwarf,6,3.764526649419468e+19,1.22,14.7,3.6375236347661213e-12,0.17606756103512516,0.08897504831747799,0.20883155961483985,0.10868391740680546,0.6501905340945421,0.8433068557171696,0.510485749395789
CamB,calibration_24,low_mass_dwarf,7,4.535946044792309e+19,1.47,16.8,3.1656193582872613e-12,0.14997778181677424,0.0660806737019978,0.17689556472541515,0.12087368352208482,0.6873971726940785,0.8953402884710555,0.5681181317014683
CamB,calibration_24,low_mass_dwarf,8,5.5233628708695474e+19,1.79,20.1,2.6251629069548245e-12,0.11998285223792321,0.044639745664856345,0.14106903477016047,0.13150896137841364,0.716100099218377,0.940757792788794,0.6175582867875844
D512-2,calibration_24,low_mass_dwarf,0,2.962250478231712e+19,0.96,22.9,4.774453353303694e-12,0.20234868727448505,0.18935657567781358,0.2809063207881382,0.07681924463262092,0.508710033896106,0.6527779071943817,0.31793615218849697
D512-2,calibration_24,low_mass_dwarf,1,5.924500956463424e+19,1.92,33.5,4.014561614298211e-12,0.14807171171510208,0.07954566516786735,0.18496736016104845,0.12126804448980097,0.6815064794419214,0.8717381065018078,0.5491633694312705
D512-2,calibration_24,low_mass_dwarf,2,8.886751434695138e+19,2.8800000000000003,37.2,2.885246433146305e-12,0.09219221479040254,0.033012376841145094,0.11110904798427665,0.14584326002285708,0.7525340413131134,0.964618062556905,0.6593074741696099
D512-2,calibration_24,low_mass_dwarf,3,1.1818145137111936e+20,3.83,35.9,1.986341470006039e-12,0.0533816466248065,0.013628888202664337,0.06280202026192698,0.1590667731279533,0.7825058342250782,0.9915134213389425,0.6990751051782232
D564-8,external_151,low_mass_dwarf,0,1.5736955665605972e+19,0.51,8.54,2.437481633862661e-12,0.14992381820649223,0.1305033246899171,0.21819240663123549,0.03319696340025328,0.2995154923556596,0.7783625516929734,0.22966155616257153
D564-8,external_151,low_mass_dwarf,1,3.1473911331211944e+19,1.02,15.1,2.0054378990947623e-12,0.11100932796503396,0.06251953774940264,0.1472422623550105,0.05438093704663076,0.3904355502424871,0.9157046426493659,0.3485091502318846
D564-8,external_151,low_mass_dwarf,2,4.721086699681792e+19,1.53,19.8,1.5766737312670195e-12,0.07686202091256604,0.03168618413424777,0.09758492675231092,0.06791644400916531,0.4389385840485595,0.9700064879944478,0.4122322975031901
D564-8,external_151,low_mass_dwarf,3,6.294782266242389e+19,2.04,21.9,1.187405965229376e-12,0.05130970622921846,0.015973789915722583,0.0629247319466086,0.07652360239356248,0.46558626822921445,0.9900485620390679,0.44447907787223756
D564-8,external_151,low_mass_dwarf,4,7.8993346086179e+19,2.56,24.0,8.764152020439423e-13,0.03305888421808749,0.008000282512257291,0.03943734374030279,0.08183747079887957,0.47945959931507653,0.9968548244254869,0.45984890668731704
D564-8,external_151,low_mass_dwarf,5,9.473030175178496e+19,3.07,25.0,6.586829948144516e-13,0.021907689324672013,0.004295965557173433,0.0255225600481072,0.08521100758872935,0.4880555165381895,0.9989047604758744,0.4683957498610658
D631-7,external_151,low_mass_dwarf,0,1.3885549116711152e+19,0.45,8.41,1.3490406587924605e-11,0.3582144419851318,0.8394933213005755,0.5442181796907931,0.07025841689231575,0.40094028503283796,0.17957592267278452,0.07008565068868888
D631-7,external_151,low_mass_dwarf,1,2.7771098233422303e+19,0.9,17.8,1.2154924554819001e-11,0.36460266748380477,0.47113132901450394,0.4543811198924286,0.12177548601623908,0.6399710665635019,0.31839713188928476,0.19013792646219638
D631-7,external_151,low_mass_dwarf,2,4.165664735013346e+19,1.35,26.0,1.0492632052283392e-11,0.3360619252229549,0.27757101112213034,0.37935552374942527,0.16060666212698846,0.7939848919756985,0.4870965771302078,0.34737407965284184
D631-7,external_151,low_mass_dwarf,3,5.554219646684461e+19,1.8,30.9,8.59719832279852e-12,0.29119817686876903,0.16191234754363956,0.31088533903527193,0.18995855139507412,0.8887888701011285,0.6651758963537696,0.5163819538181991
D631-7,external_151,low_mass_dwarf,4,6.942774558355576e+19,2.25,34.7,6.870810144404378e-12,0.23469172244549663,0.09495389875684931,0.24707954982404,0.21162498602809324,0.9416460177840204,0.8099712872250324,0.654884309043615
D631-7,external_151,low_mass_dwarf,5,8.300472694211777e+19,2.69,38.8,5.461812726762933e-12,0.18093331229269202,0.056410034889917214,0.1911900824167277,0.22761116806190107,0.9715349467726498,0.9026489560712034,0.7453645833082715
D631-7,external_151,low_mass_dwarf,6,9.689027605882893e+19,3.14,42.5,4.309065443512687e-12,0.13447548364972395,0.0331003040941261,0.1430971738388912,0.23928602310440464,0.9888558731837119,0.9547764412877819,0.7976180056046586
D631-7,external_151,low_mass_dwarf,7,1.1077582517554007e+20,3.59,45.6,3.4060722455462483e-12,0.09839240878316213,0.019287234913856206,0.10503004320149117,0.247632971980961,0.9990662396448398,0.9801448229261867,0.824268574234272
D631-7,external_151,low_mass_dwarf,8,1.2466137429225123e+20,4.04,48.8,2.7044206364193227e-12,0.07167932851389454,0.011081801440731622,0.07629129925240184,0.2535820531941885,1.0052987625970393,0.9916164281914837,0.837243657256857
D631-7,external_151,low_mass_dwarf,9,1.3854692340896239e+20,4.49,51.8,2.1600380054275e-12,0.05239948153654349,0.006210417992111593,0.05528991147103936,0.2578350150461228,1.0092443377461953,0.996578015576529,0.8435332265689853
D631-7,external_151,low_mass_dwarf,10,1.5243247252567356e+20,4.940000000000001,54.8,1.7366326465068952e-12,0.03863340107456759,0.0033306017221934135,0.04023654572241912,0.26089971231111775,1.011833603260529,0.998661674430855,0.8466710020893159
D631-7,external_151,low_mass_dwarf,11,1.6631802164238467e+20,5.39,56.6,1.4057038926076185e-12,0.02881517362218527,0.0016434229138193191,0.029540275629205914,0.26313364303934794,1.0135925873510627,0.9995147639098738,0.8483252938309813
D631-7,external_151,low_mass_dwarf,12,1.8020357075909584e+20,5.84,58.4,1.1454066749129257e-12,0.021775810244112827,0.0006705761042232772,0.021945184587793813,0.2647844857195851,1.0148273206593663,0.9998528624887596,0.8492644529952507
D631-7,external_151,low_mass_dwarf,13,1.94089119875807e+20,6.29,58.5,9.391999199980958e-13,0.01668128845150274,0.000124493760735956,0.01652421533955659,0.266022658410252,1.0157209693437992,0.9999794288060745,0.8498432461028479
D631-7,external_151,low_mass_dwarf,14,2.0797466899251816e+20,6.74,57.7,7.746218651999046e-13,0.012936173178157442,0.0001778114865852724,0.012942957063187412,0.26698957580542393,1.0162676443498475,0.9999769864652728,0.8501291385632338
D631-7,external_151,low_mass_dwarf,15,2.218602181092293e+20,7.19,57.3,6.422888580308303e-13,0.010160398518648119,0.00031186275846240865,0.010363219838237521,0.2677619366017428,1.0167223950255344,0.9999676820212325,0.8503605783881524
DDO064,external_151,low_mass_dwarf,0,3.0856775814913674e+18,0.1,6.29,6.926730896047417e-12,0.4613452206802807,0.40602793286241334,0.4637125887330725,0.02782118225432122,0.420224618004032,0.34688465546004266,0.14151698543097296
DDO064,external_151,low_mass_dwarf,1,9.257032744474102e+18,0.3,13.9,6.771216583157368e-12,0.40121294140364444,0.40437038179924084,0.44472973930573223,0.05247134746252337,0.4715094005319001,0.3573527578819894,0.1623208801757995
DDO064,external_151,low_mass_dwarf,2,1.51198201493077e+19,0.49,15.6,6.6234779859118225e-12,0.34408727609084,0.40279570828922695,0.42669603234975906,0.07497482646118477,0.5150193281599548,0.3678210563382242,0.18117087559772532
DDO064,external_151,low_mass_dwarf,3,2.129117531229043e+19,0.69,18.4,6.432531065538359e-12,0.31141436400835193,0.38028079675503945,0.40827252440235295,0.09604324328696165,0.5715171145192963,0.3917601850127653,0.21190648745826052
DDO064,external_151,low_mass_dwarf,4,2.7462530475273167e+19,0.89,22.5,6.203166085166248e-12,0.3085144686840423,0.33515114182766714,0.39045548648529665,0.11531357059994314,0.6430371969674668,0.43315994984896483,0.25973518352993197
DDO064,external_151,low_mass_dwarf,5,3.3633885638255903e+19,1.09,26.5,5.973801104794138e-12,0.30561457335973263,0.29002148690029483,0.3726384485682403,0.132953624051482,0.7075544183967382,0.4806001959861241,0.31237916382029984
DDO064,external_151,low_mass_dwarf,6,3.980524080123864e+19,1.29,35.3,5.782043038179704e-12,0.2992018440648202,0.2566765838905626,0.3569255120942535,0.14880382378221996,0.7590018124760861,0.5218813876378117,0.35915750789137924
DDO064,external_151,low_mass_dwarf,7,4.566802820607223e+19,1.48,40.5,5.634256899698026e-12,0.28989796493522646,0.2357737320904619,0.34392200371117326,0.16353783794769752,0.799498819800228,0.5522183943767377,0.3959443577763108
DDO064,external_151,low_mass_dwarf,8,5.183938336905496e+19,1.6799999999999997,44.2,5.4786925434015235e-12,0.2801044079567067,0.2137707301956191,0.3302341001500362,0.17755803189389802,0.8368066679652046,0.5861857655013396,0.43524755968438866
DDO064,external_151,low_mass_dwarf,9,5.80107385320377e+19,1.88,46.3,5.322317373592316e-12,0.2706238738325087,0.19549541915869573,0.31770668083431214,0.1906098220251401,0.8690362989138134,0.616864327747424,0.47110370517804506
DDO064,external_151,low_mass_dwarf,10,6.418209369502044e+19,2.08,46.4,5.165096137508982e-12,0.2614699722519506,0.18110987249525348,0.30639020160075825,0.2025097232234839,0.896101959290098,0.643126974537546,0.5022165061599861
DDO064,external_151,low_mass_dwarf,11,7.004488109985404e+19,2.27,46.3,5.015735963229815e-12,0.25277376575042054,0.16744360316498338,0.2956395463288821,0.21083453727772333,0.9151339128910101,0.668883118456729,0.530186350132898
DDO064,external_151,low_mass_dwarf,12,7.31305586813454e+19,2.37,46.4,4.937125345188148e-12,0.2481968149601415,0.16025082983326228,0.2899813067121052,0.2301334317708318,0.9518971597096442,0.682734854047233,0.5560995452104834
DDO064,external_151,low_mass_dwarf,13,9.195319192844273e+19,2.9799999999999995,46.9,4.499150961210321e-12,0.22139567637305846,0.12957202364745804,0.2597749968617803,0.25806275189924854,1.0027196170505177,0.748169386422784,0.6306598724103067
DDO154,calibration_24,low_mass_dwarf,0,1.51198201493077e+19,0.49,13.8,6.76614493740483e-12,0.34901366609641726,0.22817904107359455,0.35972662066750194,0.0525817313815299,0.4959444561674748,0.5492028790114327,0.2613450721262396
DDO154,calibration_24,low_mass_dwarf,1,3.0548208056764535e+19,0.99,21.6,5.491960116729266e-12,0.24412793446744782,0.17979626144923938,0.2970984176885861,0.09163507253231856,0.5923367748191948,0.6518174619193707,0.36391048641799617
DDO154,calibration_24,low_mass_dwarf,2,4.566802820607223e+19,1.48,28.9,4.083340700967628e-12,0.227315610679304,0.1334615280587319,0.26428512037262925,0.12345179925655342,0.7068373329296149,0.7392518546054792,0.4800938613882216
DDO154,calibration_24,low_mass_dwarf,3,6.078784835537993e+19,1.97,34.3,3.311607029090547e-12,0.2062933393637833,0.10886472801406423,0.2393216149715012,0.1506657812636347,0.7860395337281683,0.7933128013355599,0.5613165271130836
DDO154,calibration_24,low_mass_dwarf,4,7.621623626283678e+19,2.4700000000000006,38.2,3.0055188105346104e-12,0.18165992001130418,0.10019674107947502,0.21978197749856532,0.1742106208243476,0.839800959631674,0.819528123307279,0.6101470905673289
DDO154,calibration_24,low_mass_dwarf,5,9.133605641214447e+19,2.96,42.0,2.8584448913353543e-12,0.1676789159340897,0.09127267094452192,0.20551679231474165,0.19507604427178918,0.8866648483460239,0.8420480637475335,0.6525605102392736
