galaxy,morph_slice,n_points,surface_brightness_proxy,gas_fraction_proxy,luminosity_36e9_sol,delta_rmse_gmr_minus_nfw_kms
D564-8,low_mass_dwarf,6,10.11,0.467741935483871,0.033,-0.37906931738664773
D631-7,low_mass_dwarf,16,20.93,0.5967078189300411,0.196,0.45007142726962
DDO064,low_mass_dwarf,14,17.41,0.5733695652173912,0.157,2.347554361156546
DDO168,low_mass_dwarf,10,18.23,0.6837748344370861,0.191,1.1339508918775625
ESO079-G014,bulge_rich_hsb,15,157.34,0.05722304229766917,51.733,-22.168404582312235
ESO116-G012,bulge_rich_hsb,15,90.54,0.20148837209302325,4.292,5.334410683296024
ESO444-G084,low_mass_dwarf,7,19.81,0.6553398058252428,0.071,11.872263740676416
ESO563-G021,bulge_rich_hsb,30,429.37,0.0724286459497727,311.177,-74.02827762825557
F561-1,low_mass_dwarf,6,22.12,0.28461133532198635,4.077,29.460979211687896
F563-1,low_mass_dwarf,17,14.22,0.6270821085635901,1.903,5.048053843184748
F563-V1,low_mass_dwarf,6,9.75,0.2837209302325581,1.54,26.16676366703761
F563-V2,low_mass_dwarf,10,23.6,0.42075654704170706,2.986,10.529716263848442
F565-V2,low_mass_dwarf,7,6.93,0.5556438791732909,0.559,-2.3886423886046755
F567-2,low_mass_dwarf,5,11.5,0.5343661357189613,2.134,18.122684322559085
F568-1,ordinary_disk,12,20.36,0.4184186046511628,6.252,3.621278195093346
F568-3,ordinary_disk,18,23.81,0.2768390953990122,8.346,-4.534086736132493
F568-V1,ordinary_disk,15,31.39,0.3943951868271057,3.825,10.434922129797636
F571-8,bulge_rich_hsb,13,825.71,0.14917127071823205,10.164,-9.770731110321112
F571-V1,ordinary_disk,7,15.3,0.39693411611219837,1.849,1.2499115017029654
F574-1,ordinary_disk,14,29.98,0.35026339330086476,6.537,2.3228451651844537
F574-2,low_mass_dwarf,5,10.89,0.371559633027523,2.877,35.59493622976168
F579-V1,ordinary_disk,14,56.6,0.1592989427375293,11.848,11.414231573101556
F583-1,low_mass_dwarf,25,11.19,0.6831619537275063,0.986,0.5787152759534493
F583-4,ordinary_disk,12,24.94,0.2720713073005094,1.715,0.9866316036673841
IC2574,low_mass_dwarf,34,15.88,0.5048732943469786,1.016,2.5114712558526193
NGC0024,bulge_rich_hsb,29,151.65,0.1480832420591457,3.889,26.587315179387694
NGC0055,low_mass_dwarf,21,54.55,0.25270466655901824,4.628,21.118520857537927
NGC0100,bulge_rich_hsb,21,64.99,0.3810800459594025,3.232,-2.6949316585718885
NGC0300,ordinary_disk,25,147.51,0.24261275272161742,2.922,4.530422821081258
NGC0801,bulge_rich_hsb,13,818.14,0.06909768860324447,312.57,69.28223929369247
NGC0891,bulge_rich_hsb,18,1617.45,0.031246060979538103,138.34,-13.929813255023618
NGC1090,bulge_rich_hsb,24,283.68,0.10866283961003612,72.045,-10.968061452496215
NGC2366,low_mass_dwarf,26,31.98,0.7327293318233296,0.236,3.473664304640427
NGC2683,bulge_rich_hsb,11,1139.8,0.01718385255618973,80.415,-28.04687483725271
NGC2841,bulge_rich_hsb,50,983.63,0.04939463152362857,188.121,-49.12646662925833
NGC2903,bulge_rich_hsb,34,632.16,0.030231593911034766,81.863,19.54110577150255
NGC2976,bulge_rich_hsb,27,308.2,0.04854642957945243,3.371,7.693335738970887
NGC2998,bulge_rich_hsb,13,479.55,0.1345029910583701,150.902,-6.353703706091373
NGC3109,low_mass_dwarf,25,11.4,0.7108792846497763,0.194,-0.10888442934840548
NGC3198,bulge_rich_hsb,43,178.99,0.2211483681940262,38.279,-18.75313410042486
NGC3521,bulge_rich_hsb,41,2232.7,0.04667940218002023,84.836,-2.001069860044897
