galaxy,morph_slice,sbeff_sol_lum_pc2,gas_fraction_proxy,n_points,quality_flag,subset
CamB,low_mass_dwarf,7.89,0.1379310344827586,9,2,calibration_24
D512-2,low_mass_dwarf,9.22,0.1995073891625615,4,2,calibration_24
DDO154,low_mass_dwarf,19.99,0.8384146341463415,12,2,calibration_24
DDO161,low_mass_dwarf,20.74,0.715472481827622,31,1,calibration_24
DDO170,low_mass_dwarf,9.39,0.5751173708920188,8,2,calibration_24
IC4202,bulge_rich_hsb,391.59,0.0641728491474684,32,1,calibration_24
KK98-251,low_mass_dwarf,7.89,0.575,15,2,calibration_24
NGC0247,ordinary_disk,33.79,0.1923331130204891,26,2,calibration_24
NGC0289,bulge_rich_hsb,1587.93,0.2759760483854763,28,2,calibration_24
NGC1003,bulge_rich_hsb,140.87,0.462992125984252,36,1,calibration_24
NGC1705,low_mass_dwarf,347.4,0.2068452380952381,14,3,calibration_24
NGC2403,bulge_rich_hsb,341.06,0.2416163141993957,73,1,calibration_24
NGC2915,low_mass_dwarf,347.4,0.4421235857267189,30,2,calibration_24
NGC2955,bulge_rich_hsb,974.61,0.0830981912960608,24,1,calibration_24
NGC3741,low_mass_dwarf,42.94,0.8666666666666667,21,1,calibration_24
NGC4138,bulge_rich_hsb,1909.11,0.032526209588981,7,2,calibration_24
NGC5055,bulge_rich_hsb,1383.02,0.0711960350817521,28,1,calibration_24
NGC6503,bulge_rich_hsb,774.16,0.119542120775927,31,1,calibration_24
NGC6946,bulge_rich_hsb,571.26,0.0789220940105507,58,1,calibration_24
UGC03580,bulge_rich_hsb,614.94,0.2477886141982309,47,2,calibration_24
UGC05721,bulge_rich_hsb,233.79,0.5141811527904849,23,1,calibration_24
UGC05764,low_mass_dwarf,9.31,0.6572580645161291,10,2,calibration_24
UGC06973,bulge_rich_hsb,3317.65,0.0315157398917713,9,3,calibration_24
UGCA444,low_mass_dwarf,11.94,0.8481012658227849,36,2,calibration_24
