galaxy,subset,n_points,morph_slice,quality_flag,hubble_type,distance_mpc,luminosity_36e9_sol,mhi_1e9_sol_mass,gas_fraction_proxy,reff_kpc,rdisk_kpc,sbeff_sol_lum_pc2,rmse_c4_4_kms,rmse_baryon_kms,rmse_mond_kms,rmse_nfw_kms,rmse_iso_kms,rmse_burkert_kms,mae_c4_4_kms,mae_baryon_kms,mae_mond_kms,mae_nfw_kms,mae_iso_kms,mae_burkert_kms,median_abs_c4_4_kms,median_abs_baryon_kms,median_abs_mond_kms,median_abs_nfw_kms,median_abs_iso_kms,median_abs_burkert_kms,vflat_sample_kms,c4_vflat_proxy_kms,best_comparator_equal_weight
CamB,calibration_24,9,low_mass_dwarf,2,10,3.36,0.075,0.012,0.13793103448275865,1.21,0.47,7.89,9.50775168926555,3.8788613681362913,22.443711991294016,3.39604577056198,2.6455505140698268,2.6687652232304093,9.368766640734867,3.2167933135489144,22.23234951834364,2.9910863657114564,2.2525368937585393,2.279512941225985,10.161039950132068,2.9980537255675994,23.40513244637819,3.150366315051386,2.1527885443624513,2.270500580917993,0.0,30.26103995013207,iso
D512-2,calibration_24,4,low_mass_dwarf,2,10,15.2,0.325,0.081,0.19950738916256158,2.37,1.24,9.22,4.129501127014831,18.168326183402225,18.364089373354595,1.7705751753652592,2.2273488172427856,2.546225589044309,3.2825315518129736,17.71280208333635,18.075561858729642,1.6731746492817692,1.8441520741226949,2.3742233288763055,2.7760065358583983,19.328168701523474,17.692162309832227,1.6787601468854447,2.1530650839296896,1.937212708075739,0.0,43.11140978332498,nfw
D564-8,external_151,6,low_mass_dwarf,2,10,8.79,0.033,0.029,0.467741935483871,0.72,0.61,10.11,1.3157242086506888,12.216733580339778,14.95883658242414,1.6947935260373366,0.9113656904043281,0.9040604787674685,1.1444831616009,11.118164259861032,14.950183601311252,1.4404234725085932,0.6906299041566081,0.8054408468042616,0.9629647575626112,12.213432554704493,15.04404182252465,1.0873562542477293,0.6078734990290755,0.8226171030370697,0.0,23.761445476434996,burkert
D631-7,external_151,16,low_mass_dwarf,1,10,7.72,0.196,0.29,0.5967078189300411,1.22,0.7,20.93,7.979791543023788,30.756152062147656,19.308951899340002,7.529720115754168,3.4957719572298793,2.8924690436210363,7.40812936491492,26.42380496031525,16.62785073162662,6.751679397074029,2.766624303271679,2.0871025230458167,7.760528177651725,28.307116894394817,18.198909038651546,7.219824773248494,1.8970918273857826,1.3561756197703794,57.7,52.25717808612609,burkert
DDO064,external_151,14,low_mass_dwarf,1,10,6.8,0.157,0.211,0.5733695652173912,1.2,0.69,17.41,7.086145809860725,20.6030996267818,11.708660211462671,4.738591448704179,3.414091679882535,3.376540894943586,5.626841484695959,18.006063583940513,11.141706587384338,4.2217317694354115,2.707142657500513,2.8801286422314045,4.604536991273724,22.294188758796132,10.5445631419438,3.883533934949146,2.5888125021706436,2.538353175889249,46.1,46.14256486045984,burkert
DDO154,calibration_24,12,low_mass_dwarf,2,10,4.04,0.053,0.275,0.8384146341463415,0.65,0.37,19.99,5.193574609839913,23.408148291259568,19.025615275819263,2.852899836951341,2.9529159347785425,3.3973938708741183,3.493475727272285,21.95716423812887,18.439062188936557,2.389855020586654,2.3632597722417796,2.675298709598845,1.6952898951066508,25.660153965026495,16.714828201714667,1.90246920401556,1.7485466657302844,2.3878408294817284,47.0,58.781946085342696,nfw
DDO161,calibration_24,31,low_mass_dwarf,1,10,7.5,0.548,1.378,0.715472481827622,2.04,1.22,20.74,20.324015038098104,22.584428310906528,41.69495410877255,4.203712614896256,2.7695249568563476,1.921822721799365,17.60639147045872,20.262069864706106,40.181351932350296,3.2693564855968145,2.295381549742611,1.597049420748404,18.120006959830164,23.405007368599435,41.48646587682538,2.244504727000759,2.082576934766074,1.2852173569649779,66.3,101.88500136142676,burkert
DDO168,external_151,10,low_mass_dwarf,2,10,4.25,0.191,0.413,0.6837748344370861,1.29,1.02,18.23,5.361799294914243,18.903836844945605,23.771634475381596,4.22784840303668,3.0775628663602737,3.7173259566614716,4.708449466062872,17.426059670934677,22.954824009667796,3.595802690920352,2.4417217360085828,2.903861955001548,4.142598201516817,19.578761706092777,21.416454532093333,4.215043060432571,1.99443308584876,1.8801934552899553,53.4,60.24721584172628,iso
DDO170,calibration_24,8,low_mass_dwarf,2,10,15.4,0.543,0.735,0.5751173708920188,3.03,1.95,9.39,17.574530639999,27.600339815154424,35.949515869430975,2.760818710058869,3.431083591252156,2.177312149867762,15.475550806766883,26.73071909681744,34.940782039726095,1.9884793474080733,2.059650257289689,1.906414422950426,15.327727309667061,29.741226794724835,34.52398025486596,1.3520811344288397,0.8355143465429364,1.9523242109599614,60.0,89.08952389748362,burkert
ESO079-G014,external_151,15,bulge_rich_hsb,1,4,28.7,51.733,3.14,0.05722304229766917,7.23,5.08,157.34,9.905465246240533,62.05775245909206,25.245569590030236,32.073869828552766,9.914513160912428,7.11458296890013,8.805280748588435,52.98032663889196,23.728052323305793,26.8948856502458,8.76601181867971,6.1878752328026625,8.050355014975423,56.94763468497686,21.023623705141574,23.96269101589408,9.921549421085885,6.022361571251992,175.0,172.688820517595,burkert
