galaxy,subset,morph_slice,n_points,rmse_c4_4_kms,rmse_nfw_kms,delta_rmse_gmr_minus_nfw_kms,delta_squared_contribution_gmr_minus_nfw,abs_delta_squared_contribution,top5pct_favorable_to_gmr
UGC02487,external_151,bulge_rich_hsb,17,105.02467948708605,192.22514849369372,-87.20046900660768,-25920.32441205745,25920.32441205745,True
ESO563-G021,external_151,bulge_rich_hsb,30,51.817890612237264,125.84616824049284,-74.02827762825558,-13152.164273312643,13152.164273312643,True
NGC2841,external_151,bulge_rich_hsb,50,103.12268177519184,152.24914840445018,-49.126466629258346,-12545.515693372812,12545.515693372812,True
NGC6674,external_151,bulge_rich_hsb,15,49.98661465828012,118.26705489507788,-68.28044023679776,-11488.434628559979,11488.434628559979,True
NGC5985,external_151,bulge_rich_hsb,33,79.3367368248347,128.98936086223216,-49.65262403739746,-10343.937405634068,10343.937405634068,True
UGC02885,external_151,ordinary_disk,19,66.37645713671198,119.97105369765552,-53.59459656094354,-9987.219663303982,9987.219663303982,True
NGC3992,external_151,bulge_rich_hsb,9,14.689517515473536,97.72488805606191,-83.03537054058837,-9334.37182073243,9334.37182073243,True
UGC12506,external_151,bulge_rich_hsb,31,34.76137220476047,93.85083317398268,-59.08946096922221,-7599.6258898928345,7599.6258898928345,True
UGC09133,external_151,bulge_rich_hsb,68,97.48235221789504,128.17097679590688,-30.68862457801184,-6924.9902988831545,6924.9902988831545,True
IC4202,calibration_24,bulge_rich_hsb,32,61.42542198144508,100.5262769092806,-39.10085492783551,-6332.449883642765,6332.449883642765,False
NGC5907,external_151,bulge_rich_hsb,19,25.224501117042543,77.73862013401379,-52.51411901697124,-5407.017603736814,5407.017603736814,False
UGC02953,external_151,bulge_rich_hsb,115,109.44471740236366,131.077011147649,-21.632293745285324,-5203.036684117651,5203.036684117651,False
UGC11455,external_151,bulge_rich_hsb,36,13.75588023570413,69.7076823839279,-55.95180214822378,-4669.936742279538,4669.936742279538,False
UGC06614,external_151,bulge_rich_hsb,13,58.20070052551984,86.40706809418218,-28.206367568662337,-4078.85987497139,4078.85987497139,False
NGC5033,external_151,bulge_rich_hsb,22,39.5037654506607,70.64372387410393,-31.139958423443225,-3429.9882380198273,3429.9882380198273,False
UGC03205,external_151,bulge_rich_hsb,48,71.74982937615829,92.06614929538068,-20.316319919222394,-3328.137830571498,3328.137830571498,False
NGC4157,external_151,bulge_rich_hsb,17,8.709147562362388,51.140757921727136,-42.43161035936475,-2539.527869545694,2539.527869545694,False
NGC4100,external_151,bulge_rich_hsb,24,22.020689059779112,53.57598757133671,-31.5552985115576,-2385.4756975765504,2385.4756975765504,False
NGC2683,external_151,bulge_rich_hsb,11,24.230532916490645,52.27740775374336,-28.046874837252716,-2145.8086360340103,2145.8086360340103,False
NGC4013,external_151,bulge_rich_hsb,36,20.392485113782268,45.431960187252926,-25.03947507347066,-1648.2095573403037,1648.2095573403037,False
NGC6015,external_151,bulge_rich_hsb,44,21.273980358861305,38.88648856955289,-17.612508210691583,-1059.5767529607508,1059.5767529607508,False
NGC3893,external_151,bulge_rich_hsb,10,5.609316164951162,32.73797938160479,-27.128663216653628,-1040.310866151998,1040.310866151998,False
NGC4138,calibration_24,bulge_rich_hsb,7,26.62312101728972,41.23504671595944,-14.611925698669722,-991.5385049661039,991.5385049661039,False
NGC0891,external_151,bulge_rich_hsb,18,28.057701998937866,41.98751525396148,-13.929813255023618,-975.7167957404464,975.7167957404464,False
ESO079-G014,external_151,bulge_rich_hsb,15,9.905465246240531,32.073869828552766,-22.168404582312235,-930.6148840344684,930.6148840344684,False
NGC6946,calibration_24,bulge_rich_hsb,58,25.012409879209844,37.10311811256596,-12.090708233356114,-751.0207257094258,751.0207257094258,False
NGC4217,external_151,bulge_rich_hsb,19,65.88018777873313,71.26161490768048,-5.381427128947351,-738.0186174894106,738.0186174894106,False
NGC3198,external_151,bulge_rich_hsb,43,9.170887342996568,27.924021443421427,-18.75313410042486,-695.6457989147251,695.6457989147251,False
UGC06786,external_151,bulge_rich_hsb,45,97.77768127693592,101.24782146335662,-3.470140186420693,-690.6463951816713,690.6463951816713,False
NGC2998,external_151,bulge_rich_hsb,13,44.38051844495478,50.73422215104616,-6.35370370609138,-604.3308798287317,604.3308798287317,False
NGC1090,external_151,bulge_rich_hsb,24,21.074613017477223,32.04267446997344,-10.968061452496219,-582.5936733522674,582.5936733522674,False
