sample,model,n_galaxies,n_obs_total,equal_weight_rmse_kms,nobs_weighted_rmse_kms,equal_weight_rank,nobs_weighted_rank,rank_change_ew_to_nobs
full_175,GMR,175,3391,40.554158,57.333511,3,4,1
full_175,Baryons,175,3391,69.316005,89.916888,6,6,0
full_175,MOND,175,3391,44.907224,52.223622,4,3,-1
full_175,NFW,175,3391,46.613289,65.223402,5,5,0
full_175,ISO,175,3391,20.315979,27.651123,1,1,0
full_175,Burkert,175,3391,25.861703,37.663742,2,2,0
heldout_151,GMR,151,2779,41.869939,61.586049,3,4,1
heldout_151,Baryons,151,2779,71.025647,94.923957,6,6,0
heldout_151,MOND,151,2779,45.366468,54.228635,4,3,-1
heldout_151,NFW,151,2779,48.450095,70.165558,5,5,0
heldout_151,ISO,151,2779,20.868779,29.501803,1,1,0
heldout_151,Burkert,151,2779,27.081245,40.827317,2,2,0
