lambda_s,amplitude,best_amplitude,train_equal_weight_rmse_kms,amplitude_hits_boundary,lambda_hits_boundary,train_penalty_vs_best_kms,amplitude_drift_vs_best
0.5,1.0797751623277093e-05,1.0797751623277093e-05,30.358687590680702,False,True,2.9508781663010097,-3.1480808686803716e-06
1.0,1.0797751623277093e-05,1.0797751623277093e-05,29.87347575991306,False,False,2.465666335533367,-3.1480808686803716e-06
1.5,1.0797751623277093e-05,1.0797751623277093e-05,29.54335428947961,False,False,2.1355448650999165,-3.1480808686803716e-06
2.0,1.0797751623277093e-05,1.0797751623277093e-05,29.310587373228508,False,False,1.902777948848815,-3.1480808686803716e-06
3.0,1.3945832491957465e-05,1.3945832491957465e-05,28.644833115460834,False,False,1.2370236910811414,0.0
5.0,1.3945832491957465e-05,1.3945832491957465e-05,27.91420204991555,False,False,0.506392625535856,0.0
7.5,1.3945832491957465e-05,1.3945832491957465e-05,27.52975208897578,False,False,0.12194266459608727,0.0
10.0,1.3945832491957465e-05,1.3945832491957465e-05,27.407809424379693,False,False,0.0,0.0
12.5,1.3945832491957465e-05,1.3945832491957465e-05,27.414586578898497,False,False,0.006777154518804451,0.0
15.0,1.3945832491957465e-05,1.3945832491957465e-05,27.491251413840608,False,False,0.08344198946091552,0.0
20.0,1.3945832491957465e-05,1.3945832491957465e-05,27.749411928146365,False,True,0.3416025037666728,0.0
