model,subset,N_gal,N_obs,equal_weight_rmse_kms,median_galaxy_rmse_kms,Nobs_weighted_rmse_kms
GMR recovered,full_175,175,3391,40.55415803550234,16.166500394885055,57.33351120915735
GMR recovered,calibration_24,24,612,31.02088544768461,17.158744549698554,31.476642190137497
GMR recovered,non_calibration_151,151,2779,41.86993938419704,16.033297660717206,61.58604857359728
MOND recovered,full_175,175,3391,44.90722411368584,28.16030801243703,52.2236217862237
MOND recovered,calibration_24,24,612,41.902521434591705,23.81698963167719,41.92989302933417
MOND recovered,non_calibration_151,151,2779,45.3664676773559,28.352434394126405,54.22863509409183
Pure sqrt(g_N) baseline,full_175,175,3391,40.24136531992959,17.28173214517216,54.83496514354516
Pure sqrt(g_N) baseline,calibration_24,24,612,32.57923232855111,15.652349363695464,32.82877533464956
Pure sqrt(g_N) baseline,non_calibration_151,151,2779,41.328562064746535,17.350597540171332,58.580847371600086
GMR local S_Psi variant,full_175,175,3391,47.68290931007122,18.97875076846859,66.50422205287454
GMR local S_Psi variant,calibration_24,24,612,35.019464770246415,19.4758413546918,36.35543627427512
GMR local S_Psi variant,non_calibration_151,151,2779,49.39754680214692,18.97875076846859,71.45448934456948
