galaxy,subset,class,N_obs,factor_mean,factor_std,factor_median,factor_min,factor_max,alpha_mean,S_rad_mean
CamB,calibration_24,low_mass_dwarf,9,0.3918836725181298,0.1594792415968617,0.4076212843947591,0.1895479331619077,0.6175582867875844,0.5637103704595277,0.7092824143935821
D512-2,calibration_24,low_mass_dwarf,4,0.5563705252419001,0.1711368905658045,0.6042354218004402,0.3179361521884969,0.6990751051782232,0.6813140972190548,0.8701618743980092
D564-8,non_calibration_151,low_mass_dwarf,6,0.3938544563863777,0.0914634074614034,0.4283556876877138,0.2296615561625715,0.4683957498610658,0.4269985017881978,0.9416469715462028
D631-7,non_calibration_151,low_mass_dwarf,16,0.6825928549130229,0.2597254389765334,0.8307561157455645,0.0700856506886888,0.8503605783881524,0.9205184882119852,0.8302459298403957
DDO064,non_calibration_151,low_mass_dwarf,14,0.367831784318342,0.1599002404470366,0.377550932833845,0.1415169854309729,0.6306598724103067,0.7399327374768564,0.528403072089694
DDO154,calibration_24,low_mass_dwarf,12,0.621800433601099,0.1753830450634109,0.6711986339807545,0.2613450721262396,0.8093752899224449,0.8540326795848402,0.8180131681870244
DDO161,calibration_24,low_mass_dwarf,31,0.6242029128471563,0.2316486312352072,0.708925974745275,0.1538378590218137,0.870309187186279,1.0078031956783855,0.7309006731833331
DDO168,non_calibration_151,low_mass_dwarf,10,0.3105488361077536,0.1393827108550547,0.3160830846417192,0.1061260242079819,0.5087968588182828,0.8746390045645341,0.3934958384633605
DDO170,calibration_24,low_mass_dwarf,8,0.7492159752818295,0.157179030170051,0.8058484030258051,0.4277352756350685,0.8865330871967303,0.9769543876982938,0.9056058387169836
ESO079-G014,non_calibration_151,bulge_rich_hsb,15,0.5563964725034135,0.2622754574234445,0.5551134915318915,0.1736817945765036,0.9262385744415268,1.108052490893232,0.6112314537412534
ESO116-G012,non_calibration_151,bulge_rich_hsb,15,0.5573439568595987,0.3013029717012263,0.5962110845178643,0.082227659563895,0.8934670070086256,1.0719242868246124,0.6129134261209942
ESO444-G084,non_calibration_151,low_mass_dwarf,7,0.4158176838429845,0.2193716261215186,0.4052118004055999,0.1335667888046816,0.7349518422445435,0.8687457285835195,0.5237684597778657
ESO563-G021,non_calibration_151,bulge_rich_hsb,30,0.7130619874833468,0.2916759303980241,0.8779358411545097,0.1790756193666423,0.9738217155638684,1.2590972127236195,0.7424605742899978
F561-1,non_calibration_151,low_mass_dwarf,6,0.7152393845621804,0.180916270152815,0.7731468894338642,0.4062523817483108,0.8797017139671774,0.9892885570754892,0.8520098513140176
F563-1,non_calibration_151,low_mass_dwarf,17,0.7485972610471032,0.1854968681318994,0.842633652903352,0.3290801492946497,0.9108217098494952,0.9405398765431756,0.9395464206613175
F563-V1,non_calibration_151,low_mass_dwarf,6,0.6446682980655769,0.1604995337622383,0.6899850600960193,0.3722543075943528,0.7983809533693459,0.7666715756494981,0.933842628617374
F563-V2,non_calibration_151,low_mass_dwarf,10,0.6349232828230742,0.2386348643603435,0.6530765860923191,0.2773427058194463,0.8883400910200632,0.964872661963476,0.7653921595622288
F565-V2,non_calibration_151,low_mass_dwarf,7,0.6936549856080511,0.1647997364261327,0.7501228705744369,0.3866990784449862,0.845852353801962,0.8737240611659243,0.9060385893952008
F567-2,non_calibration_151,low_mass_dwarf,5,0.7139850728646054,0.1399281544888447,0.7624969779113889,0.4933255808948618,0.8381669294593816,0.8720780039008336,0.934638373813832
F568-1,non_calibration_151,ordinary_disk,12,0.7004781995217023,0.1711806747058289,0.7342018196335822,0.3628970190588289,0.9049598452749504,0.9962475806648476,0.838200209684891
F568-3,non_calibration_151,ordinary_disk,18,0.6957835893019522,0.1914314046589256,0.7216928857228455,0.2935287982955529,0.920418276936635,0.9180877240149856,0.883524698763972
F568-V1,non_calibration_151,ordinary_disk,15,0.7397460688149873,0.190084933502591,0.816929472009262,0.3246423108771775,0.9287495973278906,1.0264214285275122,0.8607593138282376
F571-8,non_calibration_151,bulge_rich_hsb,13,0.2955512645903923,0.2738670083336566,0.2022098978499578,0.0410040182845243,0.918367408669095,1.0512236354785365,0.3214940124513656
F571-V1,non_calibration_151,ordinary_disk,7,0.7733186729370259,0.1601134487084999,0.8388215381528407,0.4575335544451931,0.9021925300649702,1.0259579472083238,0.9031487305332244
F574-1,non_calibration_151,ordinary_disk,14,0.7486841637578687,0.1703316887757158,0.8133839621983845,0.3732053068861405,0.9094368824911596,1.0242352022283006,0.8768689089269659
F574-2,non_calibration_151,low_mass_dwarf,5,0.717637856489479,0.1424242237949721,0.7658905238142114,0.4891797510488571,0.8424779500472487,0.8674427268187543,0.945437681833274
F579-V1,non_calibration_151,ordinary_disk,14,0.7197186558428739,0.2009069504273901,0.778545979584846,0.327599969673512,0.935056598630614,1.0849533586765088,0.8086319516376078
F583-1,non_calibration_151,low_mass_dwarf,25,0.6188019524178278,0.1934729292056121,0.6718403605665186,0.2009162006508446,0.865598241192064,0.731146757424452,0.9358322671471252
F583-4,non_calibration_151,ordinary_disk,12,0.6873473036833002,0.2258715948038676,0.8092797760575285,0.2615096449992984,0.8716637282995022,0.935949559421725,0.8413245485379424
IC2574,non_calibration_151,low_mass_dwarf,34,0.6707391446948572,0.1761945719934591,0.7395002182887034,0.2150317017256928,0.8401684218198201,0.8063521514613637,0.9363731236143208
IC4202,calibration_24,bulge_rich_hsb,32,0.7239174164236826,0.2485051944794019,0.8385493545883957,0.1947089087979019,0.95880085685014,1.2212250902159678,0.7642198227395035
KK98-251,calibration_24,low_mass_dwarf,15,0.3668204476839011,0.161526669226752,0.3625609141998365,0.1368317978481501,0.6437285096622657,0.681825862673188,0.5658083405375091
NGC0024,non_calibration_151,bulge_rich_hsb,29,0.2394047368710757,0.2787639598924978,0.1306516169291141,0.0290156878140476,0.9239381465320472,0.8064312986841501,0.2903408072132069
NGC0055,non_calibration_151,low_mass_dwarf,21,0.6088151024879828,0.1853004786594573,0.6462499886866336,0.2194436346221985,0.8408091500794947,1.0848591892465431,0.6858247853380126
NGC0100,non_calibration_151,bulge_rich_hsb,21,0.6868546966199955,0.2492213791779686,0.7935421622695189,0.1690426191713933,0.9092980482878458,1.0379810287079136,0.7828448645968131
NGC0247,calibration_24,ordinary_disk,26,0.7427277365759465,0.1917474783497757,0.8212232587420415,0.2622509811386338,0.9166932682013464,1.0368240327631368,0.8614785683379073
NGC0289,calibration_24,bulge_rich_hsb,28,0.651512736762152,0.3582552506470307,0.8583208154970554,0.0798183548544886,0.9740121399555668,1.2661637149008962,0.6716706035863541
NGC0300,non_calibration_151,ordinary_disk,25,0.6865274049216876,0.2673326850684447,0.8181653251459152,0.1076020222030433,0.9208310985222208,1.0793966092790197,0.7619690621337388
