galaxy,subset,morph_slice,n_points,delta_rmse_gmr_minus_nfw_kms
CamB,calibration_24,low_mass_dwarf,9,6.111705918703571
D512-2,calibration_24,low_mass_dwarf,4,2.3589259516495718
D564-8,external_151,low_mass_dwarf,6,-0.37906931738664773
D631-7,external_151,low_mass_dwarf,16,0.45007142726962
DDO064,external_151,low_mass_dwarf,14,2.347554361156546
DDO154,calibration_24,low_mass_dwarf,12,2.3406747728885717
DDO161,calibration_24,low_mass_dwarf,31,16.12030242320185
DDO168,external_151,low_mass_dwarf,10,1.1339508918775625
DDO170,calibration_24,low_mass_dwarf,8,14.813711929940132
ESO079-G014,external_151,bulge_rich_hsb,15,-22.168404582312235
ESO116-G012,external_151,bulge_rich_hsb,15,5.334410683296024
ESO444-G084,external_151,low_mass_dwarf,7,11.872263740676416
ESO563-G021,external_151,bulge_rich_hsb,30,-74.02827762825557
F561-1,external_151,low_mass_dwarf,6,29.460979211687896
F563-1,external_151,low_mass_dwarf,17,5.048053843184748
F563-V1,external_151,low_mass_dwarf,6,26.16676366703761
F563-V2,external_151,low_mass_dwarf,10,10.529716263848442
F565-V2,external_151,low_mass_dwarf,7,-2.3886423886046755
F567-2,external_151,low_mass_dwarf,5,18.122684322559085
F568-1,external_151,ordinary_disk,12,3.621278195093346
F568-3,external_151,ordinary_disk,18,-4.534086736132493
F568-V1,external_151,ordinary_disk,15,10.434922129797636
F571-8,external_151,bulge_rich_hsb,13,-9.770731110321112
F571-V1,external_151,ordinary_disk,7,1.2499115017029654
F574-1,external_151,ordinary_disk,14,2.3228451651844537
F574-2,external_151,low_mass_dwarf,5,35.59493622976168
F579-V1,external_151,ordinary_disk,14,11.414231573101556
F583-1,external_151,low_mass_dwarf,25,0.5787152759534493
F583-4,external_151,ordinary_disk,12,0.9866316036673841
IC2574,external_151,low_mass_dwarf,34,2.5114712558526193
IC4202,calibration_24,bulge_rich_hsb,32,-39.10085492783552
KK98-251,calibration_24,low_mass_dwarf,15,0.999512852451029
NGC0024,external_151,bulge_rich_hsb,29,26.587315179387694
NGC0055,external_151,low_mass_dwarf,21,21.118520857537927
NGC0100,external_151,bulge_rich_hsb,21,-2.6949316585718885
NGC0247,calibration_24,ordinary_disk,26,3.2828119197999595
NGC0289,calibration_24,bulge_rich_hsb,28,1.0339222520624887
NGC0300,external_151,ordinary_disk,25,4.530422821081258
NGC0801,external_151,bulge_rich_hsb,13,69.28223929369247
NGC0891,external_151,bulge_rich_hsb,18,-13.929813255023618
NGC1003,calibration_24,bulge_rich_hsb,36,6.04572212350383
NGC1090,external_151,bulge_rich_hsb,24,-10.968061452496215
NGC1705,calibration_24,low_mass_dwarf,14,10.717001349304232
NGC2366,external_151,low_mass_dwarf,26,3.473664304640427
NGC2403,calibration_24,bulge_rich_hsb,73,-2.3772974335512167
NGC2683,external_151,bulge_rich_hsb,11,-28.04687483725271
NGC2841,external_151,bulge_rich_hsb,50,-49.12646662925833
NGC2903,external_151,bulge_rich_hsb,34,19.54110577150255
NGC2915,calibration_24,low_mass_dwarf,30,2.137408414438129
NGC2955,calibration_24,bulge_rich_hsb,24,20.114602629916874
NGC2976,external_151,bulge_rich_hsb,27,7.693335738970887
NGC2998,external_151,bulge_rich_hsb,13,-6.353703706091373
NGC3109,external_151,low_mass_dwarf,25,-0.10888442934840548
NGC3198,external_151,bulge_rich_hsb,43,-18.75313410042486
NGC3521,external_151,bulge_rich_hsb,41,-2.001069860044897
NGC3726,external_151,bulge_rich_hsb,12,-2.2510510423614143
NGC3741,calibration_24,low_mass_dwarf,21,0.3524781370553145
NGC3769,external_151,bulge_rich_hsb,12,15.802999441454025
NGC3877,external_151,bulge_rich_hsb,13,-10.012810278603933
NGC3893,external_151,bulge_rich_hsb,10,-27.128663216653628
NGC3917,external_151,bulge_rich_hsb,17,-12.244689850265713
NGC3949,external_151,bulge_rich_hsb,7,7.767290040163607
NGC3953,external_151,bulge_rich_hsb,8,1.9676498534320324
NGC3972,external_151,bulge_rich_hsb,10,0.02085844785450064
NGC3992,external_151,bulge_rich_hsb,9,-83.03537054058839
NGC4010,external_151,bulge_rich_hsb,12,-7.996447355787071
NGC4013,external_151,bulge_rich_hsb,36,-25.03947507347066
NGC4051,external_151,bulge_rich_hsb,7,28.139736525765073
NGC4068,external_151,low_mass_dwarf,6,-2.5155342466168893
NGC4085,external_151,bulge_rich_hsb,7,-3.8361952778156514
NGC4088,external_151,bulge_rich_hsb,12,2.4686148310657288
NGC4100,external_151,bulge_rich_hsb,24,-31.5552985115576
NGC4138,calibration_24,bulge_rich_hsb,7,-14.611925698669726
NGC4157,external_151,bulge_rich_hsb,17,-42.43161035936475
NGC4183,external_151,bulge_rich_hsb,23,9.800301436964869
NGC4214,external_151,low_mass_dwarf,14,11.502780800578178
NGC4217,external_151,bulge_rich_hsb,19,-5.381427128947351
NGC4389,external_151,ordinary_disk,6,6.912177581854824
NGC4559,external_151,bulge_rich_hsb,32,5.1259888274533
NGC5005,external_151,bulge_rich_hsb,18,20.442192384011776
NGC5033,external_151,bulge_rich_hsb,22,-31.139958423443225
NGC5055,calibration_24,bulge_rich_hsb,28,-2.828379328362921
NGC5371,external_151,bulge_rich_hsb,19,79.29230065369174
NGC5585,external_151,ordinary_disk,24,-3.83103592009456
NGC5907,external_151,bulge_rich_hsb,19,-52.51411901697124
NGC5985,external_151,bulge_rich_hsb,33,-49.65262403739746
NGC6015,external_151,bulge_rich_hsb,44,-17.612508210691583
NGC6195,external_151,bulge_rich_hsb,23,-2.5928362104529015
