subset,comparator,n_removed_most_favorable_to_gmr,remaining_n,delta_eq_rms_remaining
full_175,MOND,0,175,-4.353066078183502
full_175,MOND,1,174,-3.8616926763312733
full_175,MOND,2,173,-3.527284562274751
full_175,MOND,3,172,-3.160670931320894
full_175,MOND,4,171,-2.9733202799995198
full_175,MOND,5,170,-2.7941910928529907
full_175,MOND,6,169,-2.4164244732118547
full_175,MOND,7,168,-2.1698684478408907
full_175,MOND,8,167,-1.4222427141672256
full_175,MOND,9,166,-1.0367616983769707
full_175,MOND,10,165,-0.30905551066365433
full_175,MOND,11,164,-0.04456327153727102
full_175,MOND,12,163,0.09807402878573868
full_175,MOND,13,162,0.3501035845488403
full_175,MOND,14,161,0.5933142520809795
full_175,MOND,15,160,0.8194337573311117
full_175,NFW,0,175,-6.059131293190781
full_175,NFW,1,174,-4.53406278799465
full_175,NFW,2,173,-3.9387499262610035
full_175,NFW,3,172,-3.087451977828934
full_175,NFW,4,171,-2.3202381136096975
full_175,NFW,5,170,-1.7989001326232312
full_175,NFW,6,169,-1.4727590839983975
full_175,NFW,7,168,-0.7618875663677684
full_175,NFW,8,167,-0.3643091939887242
full_175,NFW,9,166,0.42002822977530485
full_175,NFW,10,165,1.4350770086830593
full_175,NFW,11,164,1.6470315574871108
full_175,NFW,12,163,2.1935819637092635
full_175,NFW,13,162,2.404484507297319
full_175,NFW,14,161,2.7143752632821077
full_175,NFW,15,160,3.3998125416295863
external_151,MOND,0,151,-3.4965282931588604
external_151,MOND,1,150,-2.9244180594879836
external_151,MOND,2,149,-2.5345180183568843
external_151,MOND,3,148,-2.105375358424098
external_151,MOND,4,147,-1.8851279747652185
external_151,MOND,5,146,-1.6740278539138131
external_151,MOND,6,145,-1.3894952358945858
external_151,MOND,7,144,-0.5047066931636479
external_151,MOND,8,143,-0.05360733864306155
external_151,MOND,9,142,0.8164202882221758
external_151,MOND,10,141,1.1287418602554524
external_151,MOND,11,140,1.2985645102896228
external_151,MOND,12,139,1.5980755732505187
external_151,MOND,13,138,1.8880185797724849
external_151,MOND,14,137,2.1583676986043088
external_151,MOND,15,136,2.6123725475228667
external_151,NFW,0,151,-6.5801558469174
external_151,NFW,1,150,-4.883129733056506
external_151,NFW,2,149,-4.217500909356147
external_151,NFW,3,148,-3.2630925993706086
external_151,NFW,4,147,-2.4001322286415245
external_151,NFW,5,146,-1.8121458746478467
external_151,NFW,6,145,-1.443640519372309
external_151,NFW,7,144,-0.637298533368039
external_151,NFW,8,143,-0.18520384844025273
external_151,NFW,9,142,0.7117403537151503
external_151,NFW,10,141,1.8828168135044194
external_151,NFW,11,140,2.128125984524381
external_151,NFW,12,139,2.3644659127913883
external_151,NFW,13,138,2.7120588024273573
external_151,NFW,14,137,3.4822130353337712
external_151,NFW,15,136,3.9476594054679026
